Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Arron Afflalo,SG,24,DEN,82,2221,10.9,.576,.426,.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,0,2.8,1.4,4.3,.092,0,0.8,-0.5,0.3,1.3
2,Alexis Ajinca,C,21,CHA,6,30,6.3,.479,.000,.100,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,0,-0.1,0.0,0.0,-0.013,0,-8.5,-2.0,-10.4,-0.1
3,LaMarcus Aldridge,PF,24,POR,78,2922,18.2,.535,.014,.260,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,0,5.5,3.3,8.8,.145,0,0.9,0.6,1.6,2.6
4,Joe Alexander,SF,23,CHI,8,29,2.8,.273,.167,.500,7.8,11.3,9.6,9.3,1.8,2.6,0.0,11.3,0,0.0,0.0,0.0,.030,0,-5.2,1.5,-3.7,0.0
5,Malik Allen,PF,31,DEN,51,456,5.9,.431,.052,.112,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14.0,0,-0.3,0.3,0.1,.009,0,-4.2,-0.8,-5.0,-0.3
6,Ray Allen,SG,34,BOS,80,2819,15.2,.601,.410,.260,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,0,5.1,2.9,7.9,.135,0,2.3,-0.7,1.7,2.6
7,Tony Allen,SG,28,BOS,54,889,14.2,.540,.020,.470,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,0,0.2,1.6,1.9,.100,0,-1.8,2.6,0.8,0.6
8,Rafer Alston,PG,33,TOT,52,1421,8.2,.443,.377,.182,1.0,9.7,5.3,20.2,1.9,0.5,16.5,18.8,0,-1.6,1.2,-0.4,-0.013,0,-2.9,-0.8,-3.7,-0.6
9,Louis Amundson,PF,27,PHO,79,1168,14.4,.562,.004,.446,13.1,19.9,16.7,3.7,1.0,4.4,14.7,14.6,0,1.5,1.3,2.9,.118,0,-1.0,1.4,0.4,0.7
10,Chris Andersen,PF,31,DEN,76,1695,15.8,.631,.012,.940,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,0,3.2,2.7,5.9,.166,0,-1.1,3.3,2.1,1.8
11,David Andersen,C,29,HOU,63,891,12.1,.497,.229,.197,6.7,20.6,13.4,8.1,0.9,1.0,9.1,20.2,0,0.4,0.9,1.3,.070,0,-2.5,-1.3,-3.8,-0.4
12,Antonio Anderson,SF,24,OKC,1,15,-1.7,.333,.000,.000,7.9,0.0,3.8,0.0,0.0,0.0,25.0,12.0,0,0.0,0.0,0.0,-0.104,0,-8.2,-3.1,-11.4,0.0
